tempo_s,posicao_x_px,posicao_y_px
10.130793581855471,1039,901
10.164118560743153,1008,895
10.197443539630836,980,890
10.230768518518518,958,886
10.2640934974062,942,882
10.297418476293883,930,880
10.330743455181567,925,879
10.36406843406925,925,879
10.397393412956932,930,881
10.430718391844614,942,884
10.464043370732297,959,886
10.497368349619979,981,890
10.530693328507661,1008,896
10.564018307395344,1040,900
10.597343286283026,1076,906
10.630668265170709,1115,910
10.66399324405839,1158,914
10.697318222946073,1203,917
10.730643201833756,1249,919
10.763968180721438,1296,919
10.79729315960912,1342,918
10.830618138496803,1387,916
10.863943117384485,1431,913
10.897268096272168,1472,909
10.93059307515985,1509,904
10.963918054047534,1542,900
10.997243032935216,1570,895
11.030568011822899,1594,891
11.063892990710581,1611,888
11.097217969598264,1624,885
11.130542948485946,1630,884
11.163867927373628,1629,884
11.19719290626131,1623,885
11.230517885148993,1610,888
11.263842864036675,1591,892
11.297167842924358,1567,896
11.33049282181204,1538,901
11.363817800699723,1504,905
11.397142779587405,1466,910
11.430467758475087,1424,914
11.46379273736277,1380,917
11.497117716250452,1335,919
11.530442695138134,1288,919
11.563767674025817,1242,919
11.597092652913501,1196,917
11.630417631801183,1151,914
11.663742610688866,1109,910
11.697067589576548,1071,905
11.73039256846423,1036,900
11.763717547351913,1005,895
11.797042526239595,979,890
11.830367505127278,958,885
11.86369248401496,942,883
11.897017462902642,931,881
11.930342441790325,927,880
11.963667420678007,928,881
11.99699239956569,934,883
12.030317378453372,946,883
12.063642357341054,964,886
12.096967336228737,986,891
12.130292315116419,1014,896
12.163617294004101,1047,901
12.196942272891784,1083,906
12.230267251779468,1122,911
12.26359223066715,1165,915
12.296917209554833,1209,917
12.330242188442515,1255,919
12.363567167330197,1302,919
12.39689214621788,1348,918
12.430217125105562,1393,916
12.463542103993245,1435,912
12.496867082880927,1475,908
12.53019206176861,1512,904
12.563517040656292,1544,900
12.596842019543974,1572,895
12.630166998431656,1594,891
12.663491977319339,1611,887
12.696816956207021,1622,885
12.730141935094704,1627,884
12.763466913982386,1626,885
12.796791892870068,1619,886
12.830116871757753,1605,889
12.863441850645435,1586,893
12.896766829533117,1561,897
12.9300918084208,1531,902
12.963416787308482,1497,906
12.996741766196164,1459,911
13.030066745083847,1417,914
13.06339172397153,1374,917
13.096716702859212,1328,919
13.130041681746894,1282,919
13.163366660634576,1236,919
13.196691639522259,1190,917
13.230016618409941,1147,914
13.263341597297623,1105,909
13.296666576185306,1067,905
13.329991555072988,1034,899
13.36331653396067,1004,894
13.396641512848353,978,891
13.429966491736035,958,885
13.46329147062372,943,884
13.496616449511402,933,883
13.529941428399084,929,883
13.563266407286767,931,883
13.596591386174449,938,884
13.629916365062131,950,884
13.663241343949814,969,887
13.696566322837496,992,892
13.729891301725178,1020,899
13.76321628061286,1052,905
13.796541259500543,1089,907
13.829866238388226,1129,913
13.863191217275908,1171,915
13.89651619616359,1216,918
13.929841175051273,1262,919
13.963166153938955,1308,919
13.996491132826637,1353,917
14.02981611171432,1397,915
14.063141090602002,1439,912
14.096466069489686,1479,908
14.129791048377369,1514,904
14.163116027265051,1546,899
14.196441006152734,1572,895
14.229765985040416,1594,891
14.263090963928098,1610,888
14.29641594281578,1621,886
14.329740921703463,1625,885
14.363065900591145,1623,885
14.396390879478828,1615,887
14.42971585836651,1600,890
14.463040837254193,1580,894
14.496365816141875,1555,898
14.529690795029557,1525,903
14.56301577391724,1490,907
14.596340752804922,1452,911
14.629665731692604,1411,915
14.662990710580287,1367,917
14.69631568946797,1322,919
14.729640668355653,1276,919
14.762965647243336,1230,918
14.796290626131018,1185,916
14.8296156050187,1142,913
14.862940583906383,1102,909
14.896265562794065,1065,904
14.929590541681748,1032,899
14.96291552056943,1002,894
14.996240499457112,978,891
15.029565478344795,958,886
15.062890457232477,944,885
15.09621543612016,935,884
15.129540415007842,932,883
15.162865393895524,934,884
15.196190372783207,942,884
15.229515351670889,955,887
15.262840330558571,974,890
15.296165309446254,998,895
15.329490288333938,1027,901
15.36281526722162,1060,906
15.396140246109303,1096,909
15.429465224996985,1136,914
15.462790203884667,1178,916
15.49611518277235,1223,918
15.529440161660032,1268,919
15.562765140547715,1314,919
15.596090119435397,1359,917
15.62941509832308,1402,915
15.662740077210762,1444,912
15.696065056098444,1482,908
15.729390034986126,1517,903
15.762715013873809,1548,899
15.796039992761491,1573,895
15.829364971649174,1594,891
15.862689950536856,1609,888
15.896014929424538,1619,886
15.92933990831222,1622,885
15.962664887199905,1619,886
15.995989866087587,1610,888
16.029314844975268,1595,891
16.062639823862952,1575,895
16.095964802750633,1549,899
16.129289781638317,1519,903
16.162614760525997,1484,908
16.19593973941368,1445,912
16.229264718301362,1404,915
16.262589697189046,1360,918
16.29591467607673,1315,919
16.32923965496441,1269,919
16.362564633852095,1224,918
16.395889612739776,1180,916
16.42921459162746,1137,913
16.46253957051514,1098,908
16.495864549402825,1062,903
16.529189528290505,1029,898
16.56251450717819,1001,894
16.59583948606587,977,889
16.629164464953554,958,885
16.662489443841235,945,884
16.69581442272892,937,883
16.7291394016166,934,883
16.762464380504284,937,883
16.795789359391964,946,885
16.82911433827965,960,888
16.86243931716733,979,890
16.895764296055013,1003,896
16.929089274942697,1033,899
16.962414253830378,1066,904
16.995739232718062,1102,910
17.029064211605743,1142,913
17.062389190493427,1185,916
17.095714169381107,1229,918
17.12903914826879,1274,919
17.162364127156472,1320,919
17.195689106044156,1364,917
17.229014084931837,1407,915
17.26233906381952,1448,911
17.2956640427072,1486,907
17.328989021594886,1520,903
17.362314000482566,1550,899
17.39563897937025,1574,895
17.42896395825793,1594,891
17.462288937145615,1609,888
17.495613916033296,1617,886
17.52893889492098,1620,886
17.562263873808664,1616,887
17.595588852696345,1606,888
17.62891383158403,1590,892
17.66223881047171,1569,896
17.695563789359394,1543,900
17.728888768247074,1512,904
17.76221374713476,1477,909
17.79553872602244,1438,912
17.828863704910123,1397,916
17.862188683797804,1353,918
17.895513662685488,1308,919
17.92883864157317,1263,919
17.962163620460853,1218,918
17.995488599348533,1174,916
18.028813578236218,1133,912
18.062138557123898,1094,908
18.095463536011582,1058,903
18.128788514899263,1027,898
18.162113493786947,999,893
18.19543847267463,976,890
18.228763451562312,958,886
18.262088430449996,946,884
18.295413409337677,939,884
18.32873838822536,937,883
18.36206336711304,941,884
18.395388346000725,950,883
18.428713324888406,964,888
